date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:41	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2021:45:42%20GMT	https://b.btcminners.com/styles/fonts/glyphicons-halflings-regular-3.html	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/fonts/glyphicons-halflings-regular-3.html	(from https://b.btcminners.com/styles/assets/bootstrap.min.css)
00:45:42	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2021:45:43%20GMT	https://b.btcminners.com/styles/fonts/glyphicons-halflings-regular-4.html	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/fonts/glyphicons-halflings-regular-4.html	(from https://b.btcminners.com/styles/assets/bootstrap.min.css)
00:45:43	397/397	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:28%20GMT	https://b.btcminners.com/styles/assets/images/select_arrow.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/select_arrow.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:46	791592/791592	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:20%20GMT	https://b.btcminners.com/styles/assets/images/bg.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/bg.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:46	2062/2062	---M--	200	added ('OK')	image/png	date:Sat,%2021%20May%202022%2001:06:25%20GMT	https://b.btcminners.com/styles/assets/images/logo.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/logo.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:48	5562/5562	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:46%20GMT	https://b.btcminners.com/styles/assets/images/ctn-ic1.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-ic1.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:48	101575/101575	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Mar%202021%2013:41:08%20GMT	https://b.btcminners.com/styles/assets/images/bn-bg.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/bn-bg.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:49	6549/6549	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:32%20GMT	https://b.btcminners.com/styles/assets/images/ctn-ic2.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-ic2.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:50	6446/6446	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:28%20GMT	https://b.btcminners.com/styles/assets/images/ctn-ic3.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-ic3.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:51	5334/5334	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:46%20GMT	https://b.btcminners.com/styles/assets/images/ctn-ic4.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-ic4.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
